model,N,n_qubits,noise_regime,noise_level,replicate,train_auc,val_score,test_auc,gen_gap,best_epoch,restarts_used,escaped,n_train,n_params,seed,train_secs
classical_matched,20,0,none,none,9,0.6349206349206349,0.6666666666666667,0.5779625,0.05695813492063484,26,1,True,20,61,691350929,0.11
non_equivariant,200,4,iid,high,5,0.86453125,0.895,0.8523040000000001,0.012227249999999912,51,1,True,200,61,2273803658,2217.95
non_equivariant,200,6,none,none,3,0.8898265353961556,0.9273182957393483,0.8510325000000001,0.03879403539615556,29,1,True,200,103,3531259822,39.37
classical_matched,1000,0,none,none,2,0.646941543384646,0.6608660866086608,0.6378609999999998,0.009080543384646256,26,1,True,1000,61,3221595973,0.63
classical_reference,1000,0,none,none,16,0.9025360144057623,0.8897946859903382,0.8746340000000001,0.02790201440576212,26,1,True,1000,641,1083113627,0.85
equivariant,100,4,none,none,1,0.8317698561601,0.7474747474747475,0.7638550000000002,0.06791485616009985,26,2,True,100,61,1270355181,10.99
equivariant,50,4,none,none,13,0.89,0.9600000000000001,0.8241695,0.06583050000000001,33,1,True,50,61,3813581952,6.6
non_equivariant,100,4,none,none,10,0.9324577861163227,1.0,0.8254259999999999,0.1070317861163228,79,1,True,100,61,4028633812,20.6
non_equivariant,50,4,none,none,14,0.8535353535353536,0.6190476190476191,0.795547,0.05798835353535359,42,1,True,50,61,3307801778,8.11
equivariant,200,4,none,none,5,0.84265625,0.7725,0.82319,0.019466250000000018,26,1,True,200,61,2273803658,8.94
non_equivariant,50,4,none,none,1,0.9223057644110276,0.9583333333333334,0.781372,0.14093376441102767,39,1,True,50,61,2920461881,5.78
classical_matched,200,0,none,none,7,0.6283836645282428,0.5754475703324808,0.6260144999999999,0.002369164528242873,26,1,True,200,61,2152804316,0.2
non_equivariant,200,2,correlated,mid,0,0.7853345841150718,0.7171717171717172,0.73155,0.05378458411507181,26,2,True,200,27,3832603222,177.13
non_equivariant,1000,4,none,none,5,0.9046454767726162,0.872920657324327,0.838023,0.06662247677261623,26,1,True,1000,61,449171333,40.08
equivariant,200,2,correlated,low,1,0.922077922077922,0.9948849104859335,0.827226,0.09485192207792204,70,1,True,200,27,1751689673,312.36
non_equivariant,200,8,none,none,7,0.9283367235174463,0.8235294117647058,0.8570669999999999,0.07126972351744643,35,1,True,200,153,2152804316,229.62
non_equivariant,100,4,iid,mid,1,0.760475297060663,0.8787878787878789,0.7715714999999999,-0.011096202939336886,29,2,True,100,61,1270355181,147.17
non_equivariant,1000,4,none,none,8,0.880421875,0.8869,0.854834,0.025587875000000038,28,1,True,1000,61,3479952711,46.81
non_equivariant,100,4,none,none,6,0.843984962406015,0.8958333333333333,0.7889345000000001,0.055050462406014855,34,1,True,100,61,2118860152,7.31
non_equivariant,200,4,correlated,high,1,0.8194335784697231,0.9667519181585678,0.7809879999999999,0.038445578469723185,27,1,True,200,61,1751689673,360.81
equivariant,200,4,iid,low,3,0.9101422097202688,0.924812030075188,0.8329854999999998,0.077156709720269,54,1,True,200,61,3531259822,756.24
equivariant,500,4,none,none,3,0.8721872187218722,0.8970352564102564,0.8561580000000001,0.01602921872187213,26,1,True,500,61,4274412536,21.34
non_equivariant,200,6,correlated,mid,2,0.868125,0.8825,0.844619,0.023506000000000027,53,1,True,200,103,3918929753,1518.03
non_equivariant,200,4,none,none,3,0.913736521331458,0.8796992481203008,0.829934,0.08380252133145805,57,1,True,200,61,3531259822,18.57
classical_reference,1000,0,none,none,6,0.8991274127412741,0.8870192307692306,0.8709359999999999,0.028191412741274124,53,1,True,1000,641,2662996928,1.68
equivariant,200,4,iid,high,5,0.86921875,0.7875000000000001,0.8462350000000001,0.02298374999999997,28,1,True,200,61,2273803658,417.72
non_equivariant,20,4,none,none,19,0.796875,1.0,0.7266345,0.07024050000000004,38,1,True,20,61,932007744,4.67
equivariant,200,4,iid,mid,8,0.8743529411764706,0.7826666666666666,0.847122,0.027230941176470513,26,1,True,200,61,4118718478,411.83
equivariant,200,8,none,none,4,0.9518449030644153,0.9797979797979799,0.8586090000000001,0.0932359030644152,38,1,True,200,153,359623383,263.48
non_equivariant,200,6,correlated,high,3,0.8523206751054853,0.949874686716792,0.714774,0.13754667510548524,64,1,True,200,103,3531259822,1796.74
equivariant,200,8,correlated,low,1,0.911907369738695,0.9667519181585678,0.8509705,0.060936869738695054,35,1,True,200,153,1751689673,4530.81
